,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
216,002264.SZ,2021/2/2,4.09,4.2,4.06,4.12,4.09,0.03,0.7335,45173,18648.708
217,002264.SZ,2021/2/1,4.18,4.2,4.03,4.09,4.15,-0.06,-1.4458,58064,23829.881
218,002264.SZ,2021/1/29,4.38,4.39,3.97,4.15,4.38,-0.23,-5.2511,74972.1,31209.427
219,002264.SZ,2021/1/28,4.33,4.42,4.3,4.38,4.36,0.02,0.4587,43756,19140.733
220,002264.SZ,2021/1/27,4.23,4.37,4.22,4.36,4.24,0.12,2.8302,35992.45,15457.96
221,002264.SZ,2021/1/26,4.23,4.33,4.2,4.24,4.29,-0.05,-1.1655,34896,14876.096
222,002264.SZ,2021/1/25,4.41,4.46,4.25,4.29,4.44,-0.15,-3.3784,51980,22598.974
223,002264.SZ,2021/1/22,4.43,4.49,4.37,4.44,4.41,0.03,0.6803,60734.03,26868.972
224,002264.SZ,2021/1/21,4.28,4.41,4.25,4.41,4.3,0.11,2.5581,68054,29489.839
225,002264.SZ,2021/1/20,4.23,4.31,4.21,4.3,4.28,0.02,0.4673,40455,17180.631
226,002264.SZ,2021/1/19,4.17,4.28,4.11,4.28,4.16,0.12,2.8846,59503.32,25115.575
227,002264.SZ,2021/1/18,4.16,4.19,4.13,4.16,4.15,0.01,0.241,24840,10332.783
228,002264.SZ,2021/1/15,4.09,4.16,4.06,4.15,4.08,0.07,1.7157,31826.14,13164.673
229,002264.SZ,2021/1/14,4.05,4.14,4.03,4.08,4.07,0.01,0.2457,22474,9165.037
230,002264.SZ,2021/1/13,4.14,4.14,4.03,4.07,4.12,-0.05,-1.2136,26884.62,10900.323
231,002264.SZ,2021/1/12,4.06,4.16,4.06,4.12,4.08,0.04,0.9804,19434.01,8018.97
232,002264.SZ,2021/1/11,4.18,4.2,4.06,4.08,4.2,-0.12,-2.8571,30556,12550.897
233,002264.SZ,2021/1/8,4.19,4.2,4.01,4.2,4.21,-0.01,-0.2375,38852.36,15983.092
234,002264.SZ,2021/1/7,4.35,4.36,4.2,4.21,4.38,-0.17,-3.8813,39608,16880.425
235,002264.SZ,2021/1/6,4.34,4.39,4.29,4.38,4.34,0.04,0.9217,32233.51,13980.683
236,002264.SZ,2021/1/5,4.28,4.37,4.25,4.34,4.31,0.03,0.6961,39456,16946.63
237,002264.SZ,2021/1/4,4.32,4.32,4.27,4.31,4.3,0.01,0.2326,27128.12,11655.036
