,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
117,601888.SH,20210705,277.5,284.98,275.5,279.89,281.09,-1.2,-0.4269,91359.9,2560788.528
118,601888.SH,20210702,293.3,293.3,279,281.09,300,-18.91,-6.3033,175888.31,4979170.854
119,601888.SH,20210701,299,300.09,292.6,300,300.1,-0.1,-0.0333,88671.75,2627435.713
120,601888.SH,20210630,298.18,303.98,296.08,300.1,301.75,-1.65,-0.5468,68043.53,2040071.043
121,601888.SH,20210629,307.93,309,299.01,301.75,307.83,-6.08,-1.9751,103453.89,3129803.929
122,601888.SH,20210628,301,309.96,301,307.83,296.7,11.13,3.7513,100420.96,3085281.132
123,601888.SH,20210625,293.9,299.5,290.18,296.7,294.18,2.52,0.8566,99718.96,2954988.454
124,601888.SH,20210624,301.5,302.45,288.51,294.18,296.9,-2.72,-0.9161,102966.68,3008152.024
125,601888.SH,20210623,289,300.27,288.98,296.9,286.49,10.41,3.6336,166550.36,4955347.839
126,601888.SH,20210622,283,288,274.3,286.49,280.98,5.51,1.961,120975.95,3423877.62
127,601888.SH,20210621,285,285,274.3,281.98,287.48,-5.5,-1.9132,146046.64,4073868.106
128,601888.SH,20210618,285,287.75,276.42,287.48,286,1.48,0.5175,129950.6,3671374.728
129,601888.SH,20210617,289.7,293.94,283.68,286,289.7,-3.7,-1.2772,120224.46,3449965.534
130,601888.SH,20210616,300.5,301,288.2,289.7,297.68,-7.98,-2.6807,105929.77,3110465.033
131,601888.SH,20210615,310.69,310.69,295.5,297.68,311,-13.32,-4.283,130587.15,3913995.665
132,601888.SH,20210611,314.55,317,305.38,311,313.46,-2.46,-0.7848,92804.11,2875240.466
133,601888.SH,20210610,311.02,317.37,310.7,313.46,312.8,0.66,0.211,76099.06,2396773.127
134,601888.SH,20210609,314.3,319,310.96,312.8,317.38,-4.58,-1.4431,71216.52,2232948.852
135,601888.SH,20210608,316.74,324.58,314.47,317.38,317,0.38,0.1199,79786.89,2542852.738
136,601888.SH,20210607,319.92,319.92,310.63,317,319.56,-2.56,-0.8011,77896.63,2447473.55
137,601888.SH,20210604,322.01,325,317,319.56,325.84,-6.28,-1.9273,98451.21,3148155.234
138,601888.SH,20210603,327.99,331.85,322.02,325.84,325.3,0.54,0.166,62519.16,2049074.942
139,601888.SH,20210602,336,337.4,324,325.3,334.12,-8.82,-2.6398,71990.74,2359810.455
140,601888.SH,20210601,331.99,337.31,328.65,334.12,334.5,-0.38,-0.1136,84086.58,2805332.626
141,601888.SH,20210531,342.99,343.99,329.6,334.5,344.29,-9.79,-2.8435,112209.41,3735633.093
142,601888.SH,20210528,342,349.28,339,344.29,344.54,-0.25,-0.0726,68299.05,2357981.402
143,601888.SH,20210527,339.98,348.3,337,344.54,339.99,4.55,1.3383,84332.42,2896663.233
144,601888.SH,20210526,342,348.7,334.9,339.99,339.28,0.71,0.2093,90243.51,3074087.078
145,601888.SH,20210525,322.82,339.52,320.01,339.28,320.29,18.99,5.929,129888.39,4331541.435
146,601888.SH,20210524,318,323,313.5,320.29,318,2.29,0.7201,55125.83,1756716.299
147,601888.SH,20210521,328.54,330.1,314.02,318,325.01,-7.01,-2.1569,71742.91,2294108.74
148,601888.SH,20210520,324.56,329.8,321,325.01,326.52,-1.51,-0.4625,75203.77,2446860.596
149,601888.SH,20210519,317.37,329.98,315.12,326.52,318.05,8.47,2.6631,73130.13,2383748.369
150,601888.SH,20210518,319.31,322,314,318.05,319.39,-1.34,-0.4195,55098.4,1744413.987
